time,angleDegrees
0,60
0.14,32
0.27,-10
0.41,-41
0.51,-51
0.66,-34
0.8,-3
0.94,50
1.08,56
1.29,33
1.43,-9
1.83,-46
2.03,-19
2.18,20
2.32,46
2.45,48
2.59,21
2.8,-22
2.94,-37
3.08,-32
3.22,-11
3.35,14
3.43,41
3.50,46
3.65,14
3.79,-22
3.93,-40
4.07,-27
4.34,17
4.54,41
4.82,15
4.96,-19
5.1,-37
5.31,-19
5.51,18
5.65,39
5.85,31
5.99,1
6.2,-29
6.34,-33
6.47,-10
6.61,17
6.75,33
6.89,39
7.1,7
7.24,-20
7.38,-33
7.58,-6
7.78,30
8.06,24
8.26,-14
8.4,-30
8.67,-10
9.01,35
9.36,-8
9.63,-29
9.83,-11
10,22
