time,angleDegrees
0,45
0.27,-4
0.67,-31
1.53,8
2,-29
2.47,30.5
3.01,-23
3.28,-19
3.75,28
4.35,-20
4.87,18
5.08,22
5.29,-3.5
5.81,-4
6.28,20
6.75,-14
7.08,10
7.32,21
7.45,20
7.59,1
7.92,-10
8.33,16
8.66,5
9.06,-10
9.46,15
9.66,13
9.87,-2
10,-8
