time,angleDegrees
0,45
0.22,2
0.36,-29
0.56,-37
0.7,5
0.97,32
1.3,-30
1.52,-28
1.72,-5
1.93,30
2.13,9
2.4,-26
2.67,17
3.26,-24
3.53,-12
3.67,14
3.87,18
4.14,-21
4.35,-11
4.81,18
5.08,-8
5.35,-13
5.69,16
5.83,13
5.97,-7
6.3,-11
6.5,9
6.77,11
6.98,-9
7.31,-12
7.52,14
7.79,6
8.06,-11
8.13,-13
8.27,0
8.41,12
8.68,3
8.88,-10
9.09,-7
9.29,7
9.5,10
9.57,6
9.71,-7
9.85,-9
9.93,-5
10,9
